"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"35984_JG-120"	"not cataloged"	"1"	"A-1"	"1"	"Acer macrophyllum"	"1"
"35984_JG-121"	"not cataloged"	"1"	"A-1"	"1"	"Berberis aquifolium"	"3"
"35984_JG-122"	"not cataloged"	"1"	"A-1"	"1"	"Vicia hassei"	"3.5"
"35984_JG-123"	"not cataloged"	"1"	"A-1"	"1"	"Salvia apiana"	"0.25"
"35984_JG-124"	"not cataloged"	"1"	"A-1"	"1"	"Wood"	"1"
"35991_JG-125"	"LACMP23-37494"	"1"	"B-1"	"2"	"Juniperus sp."	"40"
"35991_JG-126"	"LACMP23-37495"	"1"	"B-1"	"2"	"Juniperus sp."	"71"
"35991_JG-127"	"LACMP23-37496"	"1"	"B-1"	"2"	"Juniperus californica"	"155"
"35991_JG-128"	"not cataloged"	"1"	"B-1"	"2"	"Ambrosia confertiflora"	"1"
"35991_JG-129"	"not cataloged"	"1"	"B-1"	"2"	"rock"	"24"
"35991_JG-130"	"not cataloged"	"1"	"B-1"	"2"	"Pinus ponderoa"	"1"
"35991_JG-131"	"not cataloged"	"1"	"B-1"	"2"	"Vicia hassei"	"1"
"35991_JG-132"	"LACMP23-37497"	"1"	"B-1"	"2"	"Platanus racemosa"	"1"
"35991_JG-133"	"not cataloged"	"1"	"B-1"	"2"	"Alopecurus aequalis"	"1"
"35991_JG-134"	"not cataloged"	"1"	"B-1"	"2"	"Pinus ponderosa"	"3"
"35991_JG-135"	"not cataloged"	"1"	"B-1"	"2"	"Adenostoma fasciculatum"	"0.5"
"35991_JG-136"	"not cataloged"	"1"	"B-1"	"2"	"Solidago canandensis"	"2"
"35991_JG-137"	"LACMP23-37498"	"1"	"B-1"	"2"	"Juniperus californica"	"9"
"35991_JG-138"	"not cataloged"	"1"	"B-1"	"2"	"Pinus muricata"	"1"
"35991_JG-139"	"not cataloged"	"1"	"B-1"	"2"	"Rumex salicifolius"	"12"
"35991_JG-140"	"not cataloged"	"1"	"B-1"	"2"	"Wood"	"1"
"35991_JG-141"	"not cataloged"	"1"	"B-1"	"2"	"Bone"	"1"
"35991_JG-142"	"LACMP23-37499"	"1"	"B-1"	"2"	"Quercus dumosa"	"1"
