Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision
	NSF-19-168	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt P2		
	NSF-19-169	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-170	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt p3		
	NSF-19-171	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-172	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-173	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag		
	NSF-19-174	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-175	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	maxillay frag		
	NSF-19-176	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt maxillary frag		
	NSF-19-177	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-178	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-179	B2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag		
	NSF-19-180	B2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag		
	NSF-19-181	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Neotoma	sp	molar frag		
	NSF-19-182	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper lt M1/M2		
	NSF-19-183	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper rt M1/M2		
	NSF-19-184	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper lt M3		
	NSF-19-185	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag		
	NSF-19-186	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	partial lt dentary	no teeth	
	NSF-19-187	B2/L1	Mammalia	Rodentia	?Sciuridae				lower tooth frag		
	NSF-19-188	B2/L1	Mammalia	Rodentia	?Sciuridae				lower tooth frag		
	NSF-19-189	B2/L1	Mammalia	Rodentia	Geomyidae	Thomomyinae	?Thomomys	sp	molar	juv	
	NSF-19-190	B2/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower molar		
	NSF-19-191	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv	
	NSF-19-192	B2/L1	Mammalia	Rodentia	?Geomyidae				tooth	juv	2/5/2019
	NSF-19-193	B2/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4	juv?	
	NSF-19-194	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv	
	NSF-19-195	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag		
	NSF-19-196	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag		
	NSF-19-197	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag		
	NSF-19-198	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag		
	NSF-19-199	B2/L1	Mammalia	Carnivora	Mustelidae		?Mustela	frenata	upper (rt?) C1		2/26/2019
	NSF-19-200	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	upper rt M1	accessory loph 	
	NSF-19-201	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		
	NSF-19-202	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	upper lt M1		
	NSF-19-203	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		
	NSF-19-204	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys	megalotis	lower lt m1	grade 1+, surface covered	2/5/2019
	NSF-19-205	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1	grade 1	
	NSF-19-206	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys	megalotis	lower rt m1	grade 0	2/5/2019
	NSF-19-207	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1	grade 1	
	NSF-19-208	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		
	NSF-19-209	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		
	NSF-19-210	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	upper lt M1		
	NSF-19-211	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		
	NSF-19-212	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		
	NSF-19-213	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lt maxillary frag		
	NSF-19-214	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Reithrodontomys	cf megalotis	lower rt m1	grade 1	
	NSF-19-215	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2	juv?	
	NSF-19-216	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph	
	NSF-19-217	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys	megalotis	lower lt m1	grade 0-1	2/5/2019
	NSF-19-218	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2	juv?	
	NSF-19-219	B3/L1	Mammalia	Rodentia					rt anterior dentary frag		
	NSF-19-220	B3/L1	Mammalia	Carnivora	Canidae		Canis	dirus	rt dP3		2/26/2019
	NSF-19-221	B3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower rt m1		2/5/2019
	NSF-19-222	B3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower rt p4		
	NSF-19-223	B3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv	
	NSF-19-224	B3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar		
	NSF-19-225	B3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag		
	NSF-19-226	B3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag		
	NSF-19-227	B3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag		
	NSF-19-228	B3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	tooth frag		
	NSF-19-229	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower rt p4	small for beecheyi	
	NSF-19-230	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower rt p4	small for beecheyi	
	NSF-19-231	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower molar frag		
	NSF-19-232	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower tooth frag		
	NSF-19-233	B3/L1	Mammalia	Rodentia	?Sciuridae				tooth frag		
	NSF-19-234	B3/L1	Mammalia	cf Rodentia					lt anterior dentary frag		
	NSF-19-235	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower rt m1		
	NSF-19-236	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m1		
	NSF-19-237	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2		
	NSF-19-238	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt dentary frag		
	NSF-19-239	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag		
	NSF-19-240	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	molar frag		
