OriginalName	RevisedName	Order	Family	Genus	OriginalName_cleaned
Mammalia-Eulipotyphla	Eulipotyphla	Eulipotyphla	NA	NA	Mammalia-Eulipotyphla
Mammalia-Lagomorpha	Lagomorpha	Lagomorpha	NA	NA	Mammalia-Lagomorpha
Mammalia-Lagomorpha/Rodentia	Mammalia	NA	NA	NA	Mammalia-Lagomorpha/Rodentia
Mammalia-Misc	Mammalia	NA	NA	NA	Mammalia-Misc
Mammalia-NA	Mammalia	NA	NA	NA	Mammalia-NA
Mammalia-Rodentia	Rodentia	Rodentia	NA	NA	Mammalia-Rodentia
Mammalia-Rodentia/Lagomorpha	Mammalia	NA	NA	NA	Mammalia-Rodentia/Lagomorpha
Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis	Mephitis mephitis
Microtus californicus	Microtus californicus	Rodentia	Cricetidae	Microtus	Microtus californicus
Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	Microtus sp
Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela	Mustela frenata
NA-NA	NA	NA	NA	NA	NA-NA
Neotamias/Tamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias	Neotamias/Tamias sp
Neotoma macrotis	Neotoma macrotis	Rodentia	Cricetidae	Neotoma	Neotoma macrotis
Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma	Neotoma sp
Neotomais/Tamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias	Neotomais/Tamias sp
Otospermophilus ?beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Otospermophilus ?beecheyi
Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Otospermophilus beecheyi
Otospermophilus cf beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Otospermophilus cf beecheyi
Peromyscus ?maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Peromyscus ?maniculatus
Peromyscus cf californicus	Peromyscus californicus	Rodentia	Cricetidae	Peromyscus	Peromyscus cf californicus
Peromyscus cf maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Peromyscus cf maniculatus
Peromyscus cf P. maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Peromyscus cf P. maniculatus
Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	Peromyscus sp
Scapanus cf latimanus	Scapanus latimanus	Eulipotyphla	Talpidae	Scapanus	Scapanus cf latimanus
Reithrodontomys cf megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	Reithrodontomys cf megalotis
Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	Reithrodontomys megalotis
Scapanus latimanus	Scapanus latimanus	Eulipotyphla	Talpidae	Scapanus	Scapanus latimanus
Sorex cf ornatus	Sorex ornatus	Eulipotyphla	Soricidae	Sorex	Sorex cf ornatus
Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex	Sorex sp
Spermophilus sp	Spermophilus sp	Rodentia	Sciuridae	Spermophilus	Spermophilus sp
Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	Spilogale gracilis
Sylvilagus ?audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus ?audubonii
Sylvilagus audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus audubonii
Sylvilagus bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus bachmani
Sylvilagus cf audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus cf audubonii
Sylvilagus cf bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus cf bachmani
Sylvilagus cf S. audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus cf S. audubonii
Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus	Sylvilagus sp
