OriginalName	RevisedName	Order	Family	Genus	Precipitation Affinity	Temperature Affinity	Diet Group	Diet Breadth
cf Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	NA	NA	NA	NA
Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	NA	NA	NA	NA
Insecta-Hymenoptera	Hymenoptera	NA	NA	NA	NA	NA	NA	NA
Mammalia-??	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-???	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Carnivora	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Eulipotyphla	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Lagomorpha	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Rodentia	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-Artiodactyla	Artiodactyla	Artiodactyla	NA	NA	NA	NA	NA	NA
Mammalia-Carnivora	Carnivora	Carnivora	NA	NA	NA	NA	NA	NA
Mammalia-cf Carnivora	Carnivora	Carnivora	NA	NA	NA	NA	NA	NA
Mammalia-cf Rodentia	Rodentia	Rodentia	NA	NA	NA	NA	NA	NA
Mammalia-Eulipotyphla	Eulipotyphla	Eulipotyphla	NA	NA	NA	NA	NA	NA
Mammalia-Lagomorpha	Lagomorpha	Lagomorpha	NA	NA	NA	NA	NA	NA
Mammalia-Lagomorpha/Rodentia	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-Misc	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-NA	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mammalia-Rodentia	Rodentia	Rodentia	NA	NA	NA	NA	NA	NA
Mammalia-Rodentia/Lagomorpha	Mammalia	NA	NA	NA	NA	NA	NA	NA
Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis	Mesic	Cool	Omnivore	Generalist
Microtus califoricus	Microtus californicus	Rodentia	Cricetidae	Microtus	Neutral	Neutral	Herbivore	Intermediate
Microtus californicus	Microtus californicus	Rodentia	Cricetidae	Microtus	Neutral	Neutral	Herbivore	Intermediate
Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	Neutral	Neutral	Herbivore	Intermediate
Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela	Mesic	Neutral	Carnivore	Specialist
NA-NA	NA	NA	NA	NA	NA	NA	NA	NA
Neotoma macrotis	Neotoma macrotis	Rodentia	Cricetidae	Neotoma	Mesic	Neutral	Herbivore	Generalist
Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma	Mesic	Neutral	Herbivore	Generalist
Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Neutral	Neutral	Granivore	Generalist
Otospermophilus cf beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Neutral	Neutral	Granivore	Generalist
Peromyscus              sp sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
Peromyscus ? maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
