"Museum_Number"	"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"prelim_taxon_name"	"box"	"misc"
"66"	"Not Cataloged"	"NSF-16-57"	"B2/L2"	"Mammalia"	"Lagomorpha/Rodentia"	NA	NA	NA	NA	"Mammalia-Lagomorpha/Rodentia"	"1"	"n"
"67"	"LACMP23-28147"	"NSF-16-58"	"A1/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"68"	"LACMP23-28148"	"NSF-16-59"	"A1/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
"69"	"LACMP23-28149"	"NSF-16-60"	"A1/L3"	"Mammalia"	"Lagomorpha/Rodentia"	NA	NA	NA	NA	"Mammalia-Lagomorpha/Rodentia"	"1"	"n"
"70"	"LACMP23-28150"	"NSF-16-61"	"A1/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"71"	"LACMP23-28151"	"NSF-16-62"	"A1/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"1"	"n"
"72"	"LACMP23-28152"	"NSF-16-63"	"A2/L3"	"Mammalia"	"Carnivora"	"Mustelidae"	"Mustelinae"	"Mustela"	"frenata"	"Mustela frenata"	"1"	"n"
"73"	"LACMP23-28153"	"NSF-16-64"	"A2/L3"	"Mammalia"	"Carnivora"	"Canidae"	"Caninae"	"Canis"	"latrans"	"Canis latrans"	"1"	"n"
"74"	"LACMP23-28177"	"NSF-16-65"	"A2/L3"	"Aves"	NA	NA	NA	NA	NA	"Aves-NA"	"1"	"n"
"75"	"LACMP23-28154"	"NSF-16-66"	"A2/L3"	"Mammalia"	"Carnivora"	"Canidae"	NA	"Canis"	"latrans"	"Canis latrans"	"1"	"n"
"76"	"LACMP23-28155"	"NSF-16-67"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"1"	"n"
"77"	"LACMP23-28156"	"NSF-16-68"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"78"	"LACMP23-28157"	"NSF-16-69"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"79"	"LACMP23-28158"	"NSF-16-70"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"80"	"LACMP23-28159"	"NSF-16-71"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"81"	"LACMP23-28160"	"NSF-16-72"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"82"	"LACMP23-28161"	"NSF-16-73"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
"83"	"LACMP23-28162"	"NSF-16-74"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
"84"	"LACMP23-28163"	"NSF-16-75"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
