NSF Number	Grid/Level	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	Museum_Number	prelim_taxon_name	element
NSF-19-81	A3/L3	Mammalia	Carnivora	Mustelidae		Mustela	frenata	upper rt M1					
NSF-19-82	A3/L3	Mammalia	Carnivora					premolar frag					
NSF-19-83	A3/L3	Mammalia	Carnivora					premolar frag					
NSF-19-84	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower lt m1/m2					
NSF-19-85	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	upper lt P4 					
NSF-19-86	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower rt m1/m2					
NSF-19-87	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower lt m1/m2					
NSF-19-88	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	partial lower rt molar					
NSF-19-89	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower rt p4					
NSF-19-90	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower rt m3					
NSF-19-91	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae			lower lt p4	small for beechyi				
NSF-19-92	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower lt m1/m2					
NSF-19-93	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower rt p4					
NSF-19-94	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower rt m3					
NSF-19-95	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	partial lower lt molar					
NSF-19-96	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	upper lt P4					
NSF-19-97	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys		lt dentary w/ m2					
NSF-19-98	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2					
NSF-19-99	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae			lower molar	broken in 2 frags, worn				
NSF-19-100	A3/L3	Mammalia	Rodentia	Geomyidae		Thomomys	sp	partial upper M1/M2					
NSF-19-101	A3/L3	Mammalia	Rodentia	Geomyidae		Thomomys	sp	lower lt m1/m2					
NSF-19-102	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juvi				
NSF-19-103	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-104	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-105	A3/L3	Mammalia	Rodentia	Geomyidae		cf Thomomys		molar frag					
