OriginalName	RevisedName	Order	Family	Genus	Species	BodyMass_Mean	Precip_Mean	Temp_Mean	NDVI_Mean
cf Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	R.megalotis	10.72	NA	NA	NA
cf Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	S.gracilis	462.5	34.13	117.65	2971
cf Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	T.merriami	74.77	NA	NA	NA
cf Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	T.taxus	NA	NA	NA	NA
Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	D.agilis 	60.21	NA	NA	NA
Insecta-Hymenoptera	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-??	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-???	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Carnivora	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Eulipotyphla	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Lagomorpha	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Rodentia	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-Artiodactyla	Artiodactyla	Artiodactyla	NA	NA	NA	NA	NA	NA	NA
Mammalia-Carnivora	Carnivora	Carnivora	NA	NA	NA	NA	NA	NA	NA
Mammalia-cf Carnivora	Carnivora	Carnivora	NA	NA	NA	NA	NA	NA	NA
Mammalia-cf Rodentia	Rodentia	Rodentia	NA	NA	NA	NA	NA	NA	NA
Mammalia-Eulipotyphla	Eulipotyphla	Eulipotyphla	NA	NA	NA	NA	NA	NA	NA
Mammalia-Lagomorpha	Lagomorpha	Lagomorpha	NA	NA	NA	NA	NA	NA	NA
Mammalia-Lagomorpha/Rodentia	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-Misc	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-NA	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-Rodentia	Rodentia	Rodentia	NA	NA	NA	NA	NA	NA	NA
Mammalia-Rodentia/Lagomorpha	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis	M.mephitis	2399.99	NA	NA	NA
Microtus californicus	Microtus californicus	Rodentia	Cricetidae	Microtus	M.californicus	57.42	43.86	111	4589
Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	M.californicus	57.42	43.86	111	4589
Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela	M.frenata	190.03	NA	NA	NA
NA-NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neotoma macrotis	Neotoma macrotis	Rodentia	Cricetidae	Neotoma	N.macrotis	NA	NA	NA	3607
Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma	N.macrotis	NA	NA	NA	3607
Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	O.beecheyi	597.82	49.14	103.49	4755
Otospermophilus cf beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	O.beecheyi	597.82	49.14	103.49	4755
Peromyscus ?maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	P.maniculatus	19.98	NA	NA	NA
Peromyscus cf maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	P.maniculatus	19.98	NA	NA	NA
Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	P.maniculatus	19.98	NA	NA	NA
Reithrodontomys cf megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	R.megalotis	10.72	NA	NA	NA
Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	R.megalotis	10.72	NA	NA	NA
