"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"70"	"NSF-16-57"	"B2/L2"	"Mammalia"	"Lagomorpha/Rodentia"	""	""	""	""	"Misc. rodent/lagomorph partial teeth, incisors, and dentary frags"	""	""	"Not Cataloged"	"Mammalia-Lagomorpha/Rodentia"	"1"
"71"	"NSF-16-58"	"A1/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left m1"	"posterior loop broken"	""	"LACMP23-28147"	"Mammalia-Rodentia"	"1"
"72"	"NSF-16-59"	"A1/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left M1/M2"	""	""	"LACMP23-28148"	"Otospermophilus cf. beecheyi"	"1"
"73"	"NSF-16-60"	"A1/L3"	"Mammalia"	"Lagomorpha/Rodentia"	""	""	""	""	"incisor"	""	""	"LACMP23-28149"	"Mammalia-Lagomorpha/Rodentia"	"1"
"74"	"NSF-16-61"	"A1/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper left tooth"	""	""	"LACMP23-28150"	"Sylvilagus sp."	"1"
"75"	"NSF-16-62"	"A1/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"lower left m2"	""	""	"LACMP23-28151"	"Peromyscus sp."	"1"
"76"	"NSF-16-63"	"A2/L3"	"Mammalia"	"Carnivora"	"Mustelidae"	""	"Mustela"	"frenata"	"dentary with m1 and p3"	"missing coronoid process; p3 found in mesh 16; p2 alveolus absent"	""	"LACMP23-28152"	"Mustela frenata"	"1"
"77"	"NSF-16-64"	"A2/L3"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"latrans"	"upper right P1"	""	""	"LACMP23-28153"	"Canis latrans"	"1"
"78"	"NSF-16-65"	"A2/L3"	"Aves"	""	""	""	""	""	"beak"	""	""	"LACMP23-28177"	"Aves-"	"1"
"79"	"NSF-16-66"	"A2/L3"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"latrans"	"upper partial incisor"	""	""	"LACMP23-28154"	"Canis latrans"	"1"
"80"	"NSF-16-67"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"complete left dentary w/o teeth"	""	""	"LACMP23-28155"	"Peromyscus sp."	"1"
"81"	"NSF-16-68"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M1"	""	""	"LACMP23-28156"	"Mammalia-Rodentia"	"1"
"82"	"NSF-16-69"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28157"	"Mammalia-Rodentia"	"1"
"83"	"NSF-16-70"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28158"	"Mammalia-Rodentia"	"1"
"84"	"NSF-16-71"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28159"	"Mammalia-Rodentia"	"1"
"85"	"NSF-16-72"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left m1"	""	""	"LACMP23-28160"	"Mammalia-Rodentia"	"1"
"86"	"NSF-16-73"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper right M3"	""	""	"LACMP23-28161"	"Otospermophilus cf. beecheyi"	"1"
"87"	"NSF-16-74"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left M2"	""	""	"LACMP23-28162"	"Otospermophilus cf. beecheyi"	"1"
"88"	"NSF-16-75"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper right M1/M2"	""	""	"LACMP23-28163"	"Otospermophilus cf. beecheyi"	"1"
"89"	"NSF-16-76"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper right M1/M2"	""	""	"LACMP23-28164"	"Otospermophilus cf. beecheyi"	"1"
"90"	"NSF-16-77"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"lower right p4"	""	""	"LACMP23-28165"	"Otospermophilus cf. beecheyi"	"1"
"91"	"NSF-16-78"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28166"	"Sylvilagus sp."	"1"
"92"	"NSF-16-79"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right tooth"	""	""	"LACMP23-28167"	"Sylvilagus sp."	"1"
"93"	"NSF-16-80"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right tooth"	""	""	"LACMP23-28168"	"Sylvilagus sp."	"1"
