"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"1394"	"NSF-17-666"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"partial upper right tooth"	""	""	"LACMP23-33881"	"Sylvilagus sp"	"14"
"1395"	"NSF-17-667"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"partial upper right tooth"	""	""	"LACMP23-33882"	"Sylvilagus sp"	"14"
"1396"	"NSF-17-668"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"left maxilla"	""	""	"LACMP23-33883"	"Sylvilagus sp"	"14"
"1397"	"NSF-17-669"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"right posterior dentary frag"	"w/ p4-m1"	""	"LACMP23-33884"	"Sylvilagus sp"	"14"
"1398"	"NSF-17-670"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"left maxilla "	"w/ P4 & M2, juv"	""	"LACMP23-33885"	"Sylvilagus sp"	"14"
"1399"	"NSF-17-671"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"lower tooth frag"	""	""	"LACMP23-33886"	"Sylvilagus sp"	"14"
"1400"	"NSF-17-672"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"left maxilla"	""	""	"LACMP23-33887"	"Sylvilagus sp"	"14"
"1401"	"NSF-17-673"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"upper P2"	"juv"	""	"LACMP23-33888"	"Sylvilagus sp"	"14"
"1402"	"NSF-17-674"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"lower m3"	""	""	"LACMP23-33889"	"Mammalia-Lagomorpha"	"14"
"1403"	"NSF-17-675"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"upper tooth"	"juv"	""	"LACMP23-33890"	"Sylvilagus sp"	"14"
"1404"	"NSF-17-676"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"upper M3"	""	""	"LACMP23-33891"	"Mammalia-Lagomorpha"	"14"
"1405"	"NSF-17-677"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"lower right m1/m2"	""	""	"LACMP23-33892"	"Thomomys sp"	"14"
"1406"	"NSF-17-678"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"lower right m1/m2"	""	""	"LACMP23-33893"	"Thomomys sp"	"14"
"1407"	"NSF-17-679"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"cf bottae"	"lower right p4"	""	""	"LACMP23-33894"	"Thomomys cf bottae"	"14"
"1408"	"NSF-17-680"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"upper left M1/M2"	""	""	"LACMP23-33895"	"Thomomys sp"	"14"
"1409"	"NSF-17-681"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"partial lower right p4"	""	""	"LACMP23-33896"	"Thomomys sp"	"14"
"1410"	"NSF-17-682"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"lower right m1/m2"	""	""	"LACMP23-33897"	"Thomomys sp"	"14"
"1411"	"NSF-17-683"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"cf Thomomys"	""	"tooth"	"juv"	""	"LACMP23-33898"	"Mammalia-Rodentia"	"14"
"1412"	"NSF-17-684"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"cf Thomomys"	""	"partial tooth"	""	""	"LACMP23-33899"	"Mammalia-Rodentia"	"14"
"1413"	"NSF-17-685"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"upper left M1/M2"	""	""	"LACMP23-33900"	"Thomomys sp"	"14"
"1414"	"NSF-17-686"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"lower right m1/m2"	""	""	"LACMP23-33901"	"Thomomys sp"	"14"
"1415"	"NSF-17-687"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"M3- upper right?"	""	""	"LACMP23-33902"	"Thomomys sp"	"14"
"1416"	"NSF-17-688"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33903"	"Geomyidae/Heteromyidae"	"14"
"1417"	"NSF-17-689"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33904"	"Geomyidae/Heteromyidae"	"14"
"1418"	"NSF-17-690"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33905"	"Geomyidae/Heteromyidae"	"14"
"1419"	"NSF-17-691"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33906"	"Geomyidae/Heteromyidae"	"14"
"1420"	"NSF-17-692"	"C2/L4"	"Mammalia"	"Rodentia"	"cf Geomyidae/Heteromyidae"	""	""	""	"partial tooth"	""	""	"LACMP23-33907"	"cf Geomyidae/Heteromyidae"	"14"
"1421"	"NSF-17-693"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33908"	"Geomyidae/Heteromyidae"	"14"
"1422"	"NSF-17-694"	"C2/L4"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Dipodomys"	"sp"	"lower p4"	""	""	"LACMP23-33909"	"Dipodomys sp"	"14"
"1423"	"NSF-17-695"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33910"	"Geomyidae/Heteromyidae"	"14"
"1424"	"NSF-17-696"	"C2/L4"	"Mammalia"	"Rodentia"	"cf Heteromyidae"	""	"cf Dipodomys"	""	"tooth"	"juv"	""	"LACMP23-33911"	"Mammalia-Rodentia"	"14"
"1425"	"NSF-17-697"	"C2/L4"	"Mammalia"	"Rodentia"	"cf Geomyidae"	""	"cf Thomomys"	""	"tooth frag"	""	""	"LACMP23-33912"	"Mammalia-Rodentia"	"14"
"1426"	"NSF-17-698"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-33913"	"Geomyidae/Heteromyidae"	"14"
"1427"	"NSF-17-699"	"C2/L4"	"Mammalia"	"Rodentia"	"cf Geomyidae"	""	"cf Thomomys"	""	"tooth frag"	""	""	"LACMP23-33914"	"Mammalia-Rodentia"	"14"
"1428"	"NSF-17-700"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp"	"partial M3/m3"	""	""	"LACMP23-33915"	"Thomomys sp"	"14"
"1429"	"NSF-17-701"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-33916"	"Geomyidae/Heteromyidae"	"14"
"1430"	"NSF-17-702"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-33917"	"Geomyidae/Heteromyidae"	"14"
"1431"	"NSF-17-703"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-33918"	"Geomyidae/Heteromyidae"	"14"
"1432"	"NSF-17-704"	"C2/L4"	"Mammalia"	"Rodentia"	"cf Geomyidae"	""	"cf Thomomys"	""	"tooth frag"	""	""	"LACMP23-33919"	"Mammalia-Rodentia"	"14"
"1433"	"NSF-17-705"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-33920"	"Geomyidae/Heteromyidae"	"14"
"1434"	"NSF-17-706"	"C2/L4"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-33921"	"Geomyidae/Heteromyidae"	"14"
"1435"	"NSF-17-707"	"C2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Neotoma"	"sp"	"lower right m1"	""	""	"LACMP23-33922"	"Neotoma sp"	"14"
"1436"	"NSF-17-708"	"C2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Neotoma"	"sp"	"upper left M1"	""	""	"LACMP23-33923"	"Neotoma sp"	"14"
"1437"	"NSF-17-709"	"C2/L4"	"Mammalia"	"Rodentia"	"cf Heteromyidae"	""	""	""	"tooth"	"rooted, very large for Perognathus, juv Diopodomys/Thomomys shape"	""	"LACMP23-33924"	"cf Heteromyidae"	"14"
"1438"	"NSF-17-710"	"C2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	""	""	""	"partial molar"	"flat, worn?"	""	"LACMP23-33925"	"Cricetidae"	"14"
"1439"	"NSF-17-711"	"C2/L4"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"cf Perognathus"	""	"upper right P4"	""	""	"LACMP23-33926"	"Mammalia-Rodentia"	"14"
"1440"	"NSF-17-712"	"C2/L4"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"cf Perognathus"	""	"upper right P4"	""	""	"LACMP23-33927"	"Mammalia-Rodentia"	"14"
"1441"	"NSF-17-713"	"C2/L4"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Perognathus"	"sp"	"upper right M1/M2"	""	""	"LACMP23-33928"	"Perognathus sp"	"14"
"1442"	"NSF-17-714"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"tooth frag"	""	""	"LACMP23-33929"	"Sylvilagus sp"	"14"
"1443"	"NSF-17-715"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"tooth frag"	""	""	"LACMP23-33930"	"Mammalia-Lagomorpha"	"14"
"1444"	"NSF-17-716"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp"	"tooth frag"	""	""	"LACMP23-33931"	"Sylvilagus sp"	"14"
"1445"	"NSF-17-717"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-33932"	"Mammalia-Lagomorpha"	"14"
"1446"	"NSF-17-718"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"lower left m1/m2"	""	""	"LACMP23-33933"	"Otospermophilus cf beecheyi"	"14"
"1447"	"NSF-17-719"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"upper left M1/M2"	"worn"	""	"LACMP23-33934"	"Otospermophilus cf beecheyi"	"14"
"1448"	"NSF-17-720"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"lower left p4"	""	""	"LACMP23-33935"	"Otospermophilus cf beecheyi"	"14"
"1449"	"NSF-17-721"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"lower left p4"	""	""	"LACMP23-33936"	"Otospermophilus cf beecheyi"	"14"
"1450"	"NSF-17-722"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf Otospermophilus"	""	"upper left M1/M2"	"small"	""	"LACMP23-33937"	"Mammalia-Rodentia"	"14"
"1451"	"NSF-17-723"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf Otospermophilus"	""	"partial lower left m3"	""	""	"LACMP23-33938"	"Mammalia-Rodentia"	"14"
"1452"	"NSF-17-724"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf beecheyi"	"upper left P4"	""	""	"LACMP23-33939"	"Otospermophilus cf beecheyi"	"14"
"1453"	"NSF-17-725"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf Otospermophilus"	""	"upper left M1/M2 frag"	""	""	"LACMP23-33940"	"Mammalia-Rodentia"	"14"
"1454"	"NSF-17-726"	"C2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"lower tooth frag"	""	""	"LACMP23-33941"	"Sciuridae"	"14"
"1455"	"NSF-17-727"	"C2/L4"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"upper left maxillary frag"	""	""	"LACMP23-33942"	"Soricidae (Soricinae)"	"14"
"1456"	"NSF-17-728"	"C2/L4"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"left dentary"	""	""	"LACMP23-33943"	"Soricidae (Soricinae)"	"14"
"1457"	"NSF-17-729"	"C2/L4"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"partial right dentary"	""	""	"LACMP23-33944"	"Soricidae (Soricinae)"	"14"
"1458"	"NSF-17-730"	"C2/L4"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"partial left dentary"	""	""	"LACMP23-33945"	"Soricidae (Soricinae)"	"14"
"1459"	"NSF-17-731"	"C2/L4"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"left dentary"	"w/ 1 molariform tooth"	""	"LACMP23-33946"	"Soricidae (Soricinae)"	"14"
"1460"	"NSF-17-732"	"C2/L4"	"Mammalia"	"Carnivora"	""	""	""	""	"incisor frag"	"worn"	""	"LACMP23-33947"	"Mammalia-Carnivora"	"14"
"1461"	"NSF-17-733"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-33948"	"Mammalia-Lagomorpha"	"14"
"1462"	"NSF-17-734"	"C2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus"	""	"tooth frag"	""	""	"LACMP23-33949"	"Mammalia-Lagomorpha"	"14"
"1463"	"NSF-17-735"	"C2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"cf Microtus"	""	"tooth frag"	""	""	"LACMP23-33950"	"Mammalia-Rodentia"	"14"
"1464"	"NSF-17-736"	"C2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"right anterior dentary frag"	"no teeth"	""	"LACMP23-33951"	"Cricetidae (Neotominae)"	"14"
"1465"	"NSF-17-737"	"C2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"left anterior dentary frag"	"no teeth"	""	"LACMP23-33952"	"Cricetidae (Neotominae)"	"14"
"1466"	"NSF-17-738"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-33953"	"Microtus sp"	"14"
"1467"	"NSF-17-739"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M2"	""	""	"LACMP23-33954"	"Microtus sp"	"14"
"1468"	"NSF-17-740"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-33955"	"Microtus sp"	"14"
"1469"	"NSF-17-741"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"lower left m1"	""	""	"LACMP23-33956"	"Microtus sp"	"14"
"1470"	"NSF-17-742"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper right M2"	""	""	"LACMP23-33957"	"Microtus sp"	"14"
"1471"	"NSF-17-743"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"tooth frag"	""	""	"LACMP23-33958"	"Microtus sp"	"14"
"1472"	"NSF-17-744"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-33959"	"Microtus sp"	"14"
"1473"	"NSF-17-745"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-33960"	"Microtus sp"	"14"
"1474"	"NSF-17-746"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper right M2"	""	""	"LACMP23-33961"	"Microtus sp"	"14"
"1475"	"NSF-17-747"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"cf audubonii"	"lower right p3"	""	""	"LACMP23-33962"	"Sylvilagus  cf audubonii"	"14"
"1476"	"NSF-17-748"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right tooth"	""	""	"LACMP23-33963"	"Sylvilagus  sp"	"14"
"1477"	"NSF-17-749"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"partial upper tooth"	""	""	"LACMP23-33964"	"Sylvilagus  sp"	"14"
"1478"	"NSF-17-750"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33965"	"Mammalia-Lagomorpha"	"14"
"1479"	"NSF-17-751"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"partial tooth"	""	""	"LACMP23-33966"	"Mammalia-Lagomorpha"	"14"
"1480"	"NSF-17-752"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper left tooth"	"large for Sylvilagus"	"9/13/2018"	"LACMP23-33967"	"Sylvilagus  sp"	"14"
"1481"	"NSF-17-753"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper right tooth"	""	""	"LACMP23-33968"	"Sylvilagus  sp"	"14"
"1482"	"NSF-17-754"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper right tooth"	""	""	"LACMP23-33969"	"Sylvilagus  sp"	"14"
"1483"	"NSF-17-755"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right p3"	"juv"	""	"LACMP23-33970"	"Sylvilagus  sp"	"14"
"1484"	"NSF-17-756"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right tooth"	"juv"	""	"LACMP23-33971"	"Sylvilagus  sp"	"14"
"1485"	"NSF-17-757"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right tooth"	""	""	"LACMP23-33972"	"Sylvilagus  sp"	"14"
"1486"	"NSF-17-758"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right tooth"	"juv"	""	"LACMP23-33973"	"Sylvilagus  sp"	"14"
"1487"	"NSF-17-759"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper left tooth"	""	""	"LACMP23-33974"	"Sylvilagus  sp"	"14"
"1488"	"NSF-17-760"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33975"	"Mammalia-Lagomorpha"	"14"
"1489"	"NSF-17-761"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"right anterior dentary frag"	""	""	"LACMP23-33976"	"Sylvilagus  sp"	"14"
"1490"	"NSF-17-762"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper left tooth"	""	""	"LACMP23-33977"	"Sylvilagus  sp"	"14"
"1491"	"NSF-17-763"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper left tooth"	""	""	"LACMP23-33978"	"Sylvilagus  sp"	"14"
"1492"	"NSF-17-764"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower tooth frag"	""	""	"LACMP23-33979"	"Sylvilagus  sp"	"14"
"1493"	"NSF-17-765"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right tooth"	""	""	"LACMP23-33980"	"Sylvilagus  sp"	"14"
"1494"	"NSF-17-766"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"upper tooth frag"	""	""	"LACMP23-33981"	"Mammalia-Lagomorpha"	"14"
"1495"	"NSF-17-767"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper right tooth frag"	""	""	"LACMP23-33982"	"Sylvilagus  sp"	"14"
"1496"	"NSF-17-768"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"lower left tooth frag"	""	""	"LACMP23-33983"	"Mammalia-Lagomorpha"	"14"
"1497"	"NSF-17-769"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"lower right tooth frag"	""	""	"LACMP23-33984"	"Sylvilagus  sp"	"14"
"1498"	"NSF-17-770"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-33985"	"Geomyidae/Heteromyidae"	"14"
"1499"	"NSF-17-771"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper tooth frag"	""	""	"LACMP23-33986"	"Sylvilagus  sp"	"14"
"1500"	"NSF-17-772"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper tooth frag"	""	""	"LACMP23-33987"	"Sylvilagus  sp"	"14"
"1501"	"NSF-17-773"	"C3/L6"	"Mammalia"	"Rodentia"	""	""	""	""	"tooth"	"strange shape"	""	"LACMP23-33988"	"Mammalia-Rodentia"	"14"
"1502"	"NSF-17-774"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33989"	"Mammalia-Lagomorpha"	"14"
"1503"	"NSF-17-775"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus "	"sp"	"upper tooth frag"	""	""	"LACMP23-33990"	"Sylvilagus  sp"	"14"
"1504"	"NSF-17-776"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33991"	"Mammalia-Lagomorpha"	"14"
"1505"	"NSF-17-777"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33992"	"Mammalia-Lagomorpha"	"14"
"1506"	"NSF-17-778"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33993"	"Mammalia-Lagomorpha"	"14"
"1507"	"NSF-17-779"	"C3/L6"	"Mammalia"	"Rodentia"	"cf Geomyidae"	""	"cf Thomomys"	""	"tooth frag"	""	""	"LACMP23-33994"	"Mammalia-Rodentia"	"14"
"1508"	"NSF-17-780"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33995"	"Mammalia-Lagomorpha"	"14"
"1509"	"NSF-17-781"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33996"	"Mammalia-Lagomorpha"	"14"
"1510"	"NSF-17-782"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33997"	"Mammalia-Lagomorpha"	"14"
"1511"	"NSF-17-783"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33998"	"Mammalia-Lagomorpha"	"14"
"1512"	"NSF-17-784"	"C3/L6"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf Sylvilagus "	""	"tooth frag"	""	""	"LACMP23-33999"	"Mammalia-Lagomorpha"	"14"
"1513"	"NSF-17-785"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-34000"	"Geomyidae/Heteromyidae"	"14"
"1514"	"NSF-17-786"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth"	"juv"	""	"LACMP23-34001"	"Geomyidae/Heteromyidae"	"14"
"1515"	"NSF-17-787"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-34002"	"Geomyidae/Heteromyidae"	"14"
"1516"	"NSF-17-788"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-34003"	"Geomyidae/Heteromyidae"	"14"
"1517"	"NSF-17-789"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-34004"	"Geomyidae/Heteromyidae"	"14"
"1518"	"NSF-17-790"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-34005"	"Geomyidae/Heteromyidae"	"14"
"1519"	"NSF-17-791"	"C3/L6"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-34006"	"Geomyidae/Heteromyidae"	"14"
"1520"	"NSF-17-792"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-34007"	"Microtus sp"	"14"
"1521"	"NSF-17-793"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"lower right m1 frag"	""	""	"LACMP23-34008"	"Microtus sp"	"14"
"1522"	"NSF-17-794"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-34009"	"Microtus sp"	"14"
"1523"	"NSF-17-795"	"C3/L6"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Microtus"	"sp"	"molar frag"	""	""	"LACMP23-34010"	"Microtus sp"	"14"
