ABF updated museum database as of 3.5.2020 If you need to make additional changes please contact me with specifics									
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1038	Alnus rhombifolia 	2	leaf bud	Same as leaf bud in Batch 37200	LACMP23-42006	Calscape
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1039	Madia exigua 	1	seed		LACMP23-42007	(http://westerncascades.com/photos/seeds/seeds-i-o/)
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1040	Berula erecta	0.5	seed		LACMP23-42008	(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1041	Purshia tridentata 	3	seed		LACMP23-42009	Seed samples
P23 39528	Box 13 grid B-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1042	Xanthium strumarium 	1	seed		LACMP23-42010	Seed samples
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1043	Juniperus californica 	17	seed		LACMP23-42011	Jesse
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1044	Juniperus sp.	54	seed		LACMP23-42012	Santa Ana Botanic Garden
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1045	Bone	18	bone		not cataloging now	Bone
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1046	Juniperus californica 	3	bud		LACMP23-42013	Calscape
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1047	Thysanocarpus laciniatus	1	seed	Same as JG-538	LACMP23-42014	Santa Ana Botanic Garden
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1048	Platanus racemosa 	2	seed		LACMP23-42015	Seed samples
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1049	Juniperus californica (charcoal/ashpalt?)	1	twig		LACMP23-42016	Calscape
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1050	Potamogeton nodosus	1	seed		LACMP23-42017	Seed samples
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1051	Salvia apiana 	1	seed		LACMP23-42018	Santa Ana Botanic Garden
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1052	Purshia tridentata 	2	seed		LACMP23-42019	Seed samples
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1053	Quercus lobata 	4	immature acorns	acorns have been charcoalized 	LACMP23-42020	Calscape
P23 39529	Box 13 grid B-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1054	Charcoal	1	charcoal		LACMP23-42021	Charcoal
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1055	Juniperus californica 	29	seed		LACMP23-42022	Jesse
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1056	Juniperus sp.	98	seed		LACMP23-42023	Seed samples
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1057	Alopecurus aequalis	6	glume		LACMP23-42024	(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1058	Bone	88	bone		not cataloging now	Bone
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1059	Platanus racemosa 	11	seed		LACMP23-42025	Seed samples
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1060	Juniperus californica 	5	bud		LACMP23-42026	Calscape
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1061	Arctostaphylos viscida	1	seed		LACMP23-42027	Santa Ana Botanic Garden
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1062	Quercus agrifolia 	2	acorn cap	pointed overapping flat scales	LACMP23-42028	Calscape
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1063	Salvia apiana 	1	seed		LACMP23-42029	Santa Ana Botanic Garden
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1064	Quercus agrifolia	2	immature acorn		LACMP23-42030	Calscape
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1065	Quercus agrifolia 	2	bud		LACMP23-42031	(https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=601)
P23 39530	Box 13 grid B-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1066	Solidago canadensis	2	seed		LACMP23-42032	Seed samples
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1067	Juniperus californica 	2	seed		LACMP23-42033	Jesse
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1068	Juniperus sp.	24	seed		LACMP23-42034	Seed samples
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1069	Juniperus californica	2	twig		LACMP23-42035	Calscape
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1070	Juniperus californica (charcoal/ashpalt?)	1	twig		LACMP23-42036	Calscape
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1071	Platanus racemosa 	1	seed		LACMP23-42037	Seed samples
