RLB batch catalog #	Box, grid, level	preparation at LBTP	Gill temporary #	identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	Habitat Type	Obtain reference sample	any other notes	Reference 	Image(s) Taken	Aisling questions
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-011	Juniperus californica	3	twigs		LACMP23-36013		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes	Calflora	33461_JG_11_Juniperus californica	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-012	Juniperus californica	5	buds	Previously identified as Cupressaceae (7/3/19)	LACMP23-36014		no		http://conifersociety.org/conifers/conifer/thuja/	33461_JG_12_Cuppressaceae	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-013	Juniperus californica	1	buds	Previously identified as Cupressaceae (7/3/19)	LACMP23-36015		no		Botany in a Day pg. 48	33461_JG_13_Cuppressaceae	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-014	Pinus muricata	1	cone scale	Previously identified as Cupressaceae (7/3/19)	LACMP23-36016		no	Size of scale, means small cone, upper scale	(https://www2.palomar.edu/users/warmstrong/arbimg4a.htm)	33461_JG_14_Cuppressaceae	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-015	Deinandra fasciculata	1	seed	Previously identified as Cirsium sp. (7/3/19)	LACMP23-36017		yes		Barkley pg. 205	33461_JG_15_Cirsium	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-016	Juniperus californica	2.75	seed	Previously identified as Polygonum sp. (6/4/19)	LACMP23-36018		yes		Barkley pg. 147	33461_JG_16_Polygonum	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-017	Juniperus californica	1	wood	Previously identified as Juniperus sp. (7/3/19)	LACMP23-36019		no	wood fragment	Barkley pg. 126		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-018	Pinus radiata	1	seed	Previously identified as Symphoricarpos sp. (7/3/19)	LACMP23-36020		yes		Barkley pg. 200	33461_JG_18_Symphoricarpos	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-019	Quercus lobata	2	cap fragments		LACMP23-36021		no		Rancho Santa Ana Botanic Garden	33461_JG_19_Quercus 	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-020	Quercus lobata	1	wood	Previously identified as Poaceae (7/3/19)	LACMP23-36022		no	lighter colored wood	Calscape		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-021	Arctostaphylos catalinae	0.5	seed 	Previously identified as Malvaceae (7/3/19)	LACMP23-36023		no	inner seed chamber visible 	Santa Ana Botanic Garden		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-022	rock 	3	rock		discarded		no				
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-023	Berula erecta	2	seed and rock	Previously identified as Asteraceae (7/3/19)	LACMP23-36024		no		Bekker pg. 50		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-024	Hesperocyparis macrocarpa	2	cone fragment	Previously identified as Hesperocyparis sp. (7/3/19)	LACMP23-36025		no		Rancho Santa Ana Botanic Garden		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-025	Pinus muricata	2	seed	Previously identified as Rosa californica (7/3/19)	LACMP23-36026		no	Community: Yellow Pine Forest, Foothill Woodland, Chaparral, Valley Grassland, (many plant communities), wetland-riparian	Ransom Seed Labratory, Rancho Santa Ana Botanic Garden, Calflora		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-026	Quercus lobata	1	wood	Previously identified as Asteraceae (6/4/19)	LACMP23-36027		no	Drymocallis glandulosa seed	Bekker pg. 50		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-027	Bone	1	bone	Previously identified as Amaranthaceae (6/4/19)	LACMP23-36028		no		Bone		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-028	Asclepias californica 	1	seed	Previously identified as Brassicaceae (6/4/19)	LACMP23-36029		no	flat, markings	Bekker pg. 77		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-029	Allium atrorubens	1	seed	Previously identified as Boraginaceae (7/3/19)	LACMP23-36030		no		Bekker pg. 70		
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-030	Berberis aquifolium	10	seed and wood fragments	Previously identified as Convolvulaceae (7/3/19)	LACMP23-36031		no	fragment	Bekker pg. 103		
P23-33462	Box 1 grid B-2 level 3	cold soaked npropyl bromide only	33462_JG-031	Juniperus californica	72.5	seeds	Previously identified as Juniperus californica (6/4/19)	LACMP23-36032		yes	Juniperus sp. 	Barkley pg. 126, Calflora		
P23-33462	Box 1 grid B-2 level 3	cold soaked npropyl bromide only	33462_JG-032	Xanthium strumarium	1	seed 		LACMP23-36033		no	Community: weed, characteristic of disturbed places, wetland-riparian	Bekker pg. 52, Calflora		
P23-33462	Box 1 grid B-2 level 3	cold soaked npropyl bromide only	33462_JG-033	Ceanothus greggii	1	seed	Previously identified as Rhamnus sp. (6/4/19)	LACMP23-36034		yes		Barkley pg. 179		
P23-33462	Box 1 grid B-2 level 3	cold soaked npropyl bromide only	33462_JG-034	Juniperus californica 	2	seeds	Previously identified as Polygonaceae (6/4/19)	LACMP23-36035		yes		Bekker pg. 217		
P23-33463	Box 1 grid B-2 level 4	cold soaked npropyl bromide only	33463_JG-035	Juniperus sp.	48.5	seed	Previously identified as Juniperus californica (6/4/19)	LACMP23-36036		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes (Juniperus sp.)	Barkley pg. 126, Calflora		
P23-33463	Box 1 grid B-2 level 4	cold soaked npropyl bromide only	33463_JG-036	Xanthium strumarium	1	seed		LACMP23-36037		no	Community: weed, characteristic of disturbed places, wetland-riparian	Bekker pg. 52, Calflora		
P23-33463	Box 1 grid B-2 level 4	cold soaked npropyl bromide only	33463_JG-037	Persicaria lapathifolia	1	seed	Previously identified as Eriogonum sp. (7/1/19)	LACMP23-36038		yes		seed samples		
P23-33463	Box 1 grid B-2 level 4	cold soaked npropyl bromide only	33463_JG-038	Berula erecta	1	seed	Previously identified as Fabaceae. (7/1/19)	LACMP23-36039		no		Bekker pg. 130		
P23-33463	Box 1 grid B-2 level 4	cold soaked npropyl bromide only	33463_JG-039	Pinus muricata	0.5	seed	Previously identified as Cupressaceae. (7/1/19)	LACMP23-36040		no	fragment	Botany in a Day pg. 48		
P23-33463	Box 1 grid B-2 level 4	cold soaked npropyl bromide only	33463_JG-040	rock 	3	rock		discarded		no				
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-041	Juniperus sp.	91	seeds	Previously identified as Juniperus californica (6/4/19)	LACMP23-36041		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes	Barkley pg. 126, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-042	Juniperus californica	5	twigs		LACMP23-36042		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes	Barkley pg. 126, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-043	Quercus lobata	7	leaf fragments	Previously identified as Quercus douglasii (7/1/19)	LACMP23-36043		yes	Community: Foothill Woodland	Barkley pg. 144, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-044	Juniperus californica 	2	seeds	Previously identified as Juniperus sp. (6/4/19)	LACMP23-36044		no		Barkley pg. 151		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-045	Platanus racemosa 	5	seeds	Previously identified as Asteraceae (6/4/19)	LACMP23-36045		no		USDA, seed samples		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-046	poop	6.5	poop		not cataloging now-lots more at LBTP		no				
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-047	Quercus lobata	6	cap fragments	Previously identified as Quercus douglasii (7/1/19)	LACMP23-36046		yes	Community: Foothill Woodland	Barkley pg. 144, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-048	Bone	1	bone		discarded		no				
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-049	Hesperocyparis macrocarpa	2	cone fragments	Previously identified as Cupressaceae (7/3/19)	LACMP23-36047		no		Botany in a Day pg. 48		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-050	Hesperocyparis macrocarpa	10	cone fragments	Previously identified as Cupressaceae (7/3/19)	LACMP23-36048		no		http://conifersociety.org/conifers/conifer/thuja/		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-051	Quercus lobata	2	cap fragments	Previously identified as Quercus douglasii (7/1/19)	LACMP23-36049		yes	(fragments)Community: Foothill Woodland	Barkley pg. 144, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-052	Juniperus californica	1	bud	Previously identified as Cupressaceae (7/3/19)	LACMP23-36050		no		Botany in a Day pg. 48		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-053	Pinus muricata	1	cone scale fragment	Previously identified as Cupressaceae (7/3/19)	LACMP23-36051		no		(https://www2.palomar.edu/users/warmstrong/arbimg4a.htm)		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-054	Pinus muricata	1	twig	Previously identified as Pinus albicaulis (7/3/19)	LACMP23-36052		no	(fragment)Community: Subalpine Forest	Trees For Me, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-055	Iris tenuissima 	1	seed	Previously identified as Claytonia sp. (7/3/19)	LACMP23-36053		yes		Ranch Santa Ana Botanic Garden		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-056	Pinus muricata	1	cone scale	Previously identified as Cupressaceae (7/3/19)	LACMP23-36054		no	fragment	Botany in a Day pg. 48		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-057	Pinus sabiniana	2	pine nut shell		LACMP23-36055		yes	Community: Foothill Woodland	Ranch Santa Ana Botanic Garden, Calflora		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-058	Hesperocyparis macrocarpa	2	seed and rock	Previously identified as Cupressaceae (7/3/19)	LACMP23-36056		no		Bekker pg. 217		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-059	Hesperocyparis macrocarpa	1	cone fragment	Previously identified as Cupressaceae (7/3/19)	LACMP23-36057		no		Botany in a Day pg. 48		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-060	Rosa californica	1	seed	Previously identified as Malosma laurina (7/1/19)	LACMP23-36058		no		USDA, seed samples, (https://seedsofsuccess.smugmug.com/Seeds-of-Success-Partners/Bend-Seed-Extractory/i-TzWHqWD)		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-061	Allium atrorubens	1	seed	Previously identified as Polygonaceae (7/3/19)	LACMP23-36059		no	(Amaranthaceae)	Barkley pg. 217		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-062	Galium andrewsii	1	seed	Previously identified as Polygonaceae (7/3/19)	LACMP23-36060		no	1/2 seed 	Barkley pg. 217		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-063	Berberis haematocarpa	1	seed	Previously identified as Berberis haematocarpa (7/3/19)	LACMP23-36061		no		Ranch Santa Ana Botanic Garden, seed sample		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-064	Allium atrorubens	1	seed	Previously identified as Boraginaceae (7/3/19)	LACMP23-36062		no		Bekker pg. 70		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-065	Pinus attenuata	1	seed	Previously identified as Boraginaceae (7/3/19)	LACMP23-36063		no		Bekker pg. 70		
P23-33464	Box 1 grid B-2 level 6	heated to 80C biodiesel & cold soaked npropyl bromide	33464_JG-066	Pinus sabiniana	0.5	seed	Previously identified as Apiaceae (7/3/19)	LACMP23-36064		no	1/2 seed	Bekker pg. 31		
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-067	Juniperus sp. 	14.5	seeds	Previously identified as Juniperus californica (6/4/19)	LACMP23-36065		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes 	Barkley pg. 126, Calflora		
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-068	Malosma laurina	1	seeds	Previously identified as Juniperus californica (7/8/19)	LACMP23-36066		yes	Salvia spathacea 	Bekker pg. 157, Barkley pg. 196		
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-069	Platanus racemosa 	4	seeds	Previously identified as Asteraceae (6/4/19)	LACMP23-36067		no	Platanus racemosa	USDA, seed samples		
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-070	Platanus racemosa 	8	seeds	Previously identified as Asteraceae (6/4/19)	LACMP23-36068		no	Platanus racemosa	USDA, seed samples		
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-071	bone	1	bone		yes it's bone		no	bone			
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-072	Juniperus sp. 	1	twig	Previously identified as Juniperus californica (6/4/19)	(we may have misplaced this one here at UMaine - KG)		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes 	Barkey pg. 126, Calflora		
P23-33465	Box 1 grid B-2 level 7	cold soaked npropyl bromide only	33465_JG-073	Adenostoma fasciculatum	1	capsule		LACMP23-36069		yes	Community: Chaparral, Habitat: slopes, ridges	Rancho Santa Ana Botanic Garden, Calflora		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33465_JG-074	Juniperus sp. 	40.5	seeds	Previously identified as Juniperus californica (6/4/19)	LACMP23-36070						
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-075	Juniperus californica	11	twigs		LACMP23-36071		yes	(fragments)Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes	Barkey pg. 126, Calflora		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-076	not bone	1	not bone		LACMP23-36072		no		strange solid spine-like, not bone		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-077	poop	2	poop		not cataloging now-lots more at LBTP		no		poop		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-078	Pinus sabiniana	1	seed	Previously identified as Poaceae (7/3/19)	LACMP23-36073		no	2 pieces 	Bekker pg. 186		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-079	Eschscholzia californica	1	seed		LACMP23-36074		yes	The identification marking are in picture 33466_JG-79_2. Community: Yellow Pine Forest, Red Fir Forest, Lodgepole Forest, Foothill Woodland, Chaparral, Valley Grassland, Northern Coastal Scrub, Coastal Prairie	Rancho Santa Ana Botanic Garden, Calflora		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-080	Juniperus californica	2	bud		LACMP23-36075		yes	Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes 	Barkey pg. 126, Calflora		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-081	Galium andrewsii	1	seed	Previously identified as Smilax sp. (6/4/19)	LACMP23-36076				Rancho Santa Ana Botanic Garden		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-082	Galium trifidium	1	seed	Previously identified as Smilax sp. (6/4/19)	LACMP23-36077		no		Rancho Santa Ana Botanic Garden		
P23-33466	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	33466_JG-083	Juniperus californica	1	wood	Previously identified as Juniperus grandis. (7/1/19)	LACMP23-36078		no	(fragment)			
