RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-418	Vicia hassei	4	seed	Previosusly identified as Amaranthaceae (7/10/19)		Bekker pg. 20		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-419	Heteromeles arbutifolia 	1	seed	Previosusly identified as Themidaceae (7/10/19)		Santa Ana Botanic Garden, (https://montereywildflowers.com/themidaceae/)	probably Bloomeria crocea 	
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-420	Brassicaceae	1/2	seed			Bekker pg. 87		
P23 35995	Box 1 grid B-1 level 8	heated to 80C biodiesel & cold soaked npropyl bromide	35995_JG-421	Lathyrus vestitus	1	pod	Previosusly identified as Fabaceae (7/10/19)		Bekker pg. 127 		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-422	Cyperaceae	32	seed	Previosusly idenntified to genus (6/5/19)		(http://pierre.legagneux.free.fr/especeang.php?Famille=CYPERACEAE&Nom_ang=Sea+Club-rush&Espece=Scirpus+maritimus+L.)	Also called Bolboschoenus maritimus	
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-423	Bone	1	bone	Previosusly idenntified as seed (6/5/19)		Santa Ana Botanic Garden		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-424	Solidago canandensis	44	seed	Previosusly idenntified as Solidago sp. (6/5/19)		seed samples, Santa Ana Botanic Garden 		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-425	rocks	33	rocks			rocks		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-426	Juniperus californica	5	bud	Previosusly idenntified as Cupressaceae (6/5/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-427	Platanus racemosa	9	seed			USDA, seed samples		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-428	Pinus sabiniana	0.5	seed	Previosusly idenntified as Lamiaceae (6/5/19)		Bekker pg. 157		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-429	Potamogeton nodosus	1	seed	Previosusly idenntified as Potamogeton (6/5/19)		(https://tmi.laccore.umn.edu/uniqueIdentification/show/136)		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-430	Juniperus sp. 	25	seed			Santa Ana Botanic Garden	whole seeds	
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-431	Juniperus sp. 	10	seed			Santa Ana Botanic Garden	fragments 	
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-432	Pinus muricata	2	seed	Previosusly idenntified as Pinus sp. (6/5/19)		seed samples, Santa Ana Botanic Garden		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-433	Charcoal 	4	charcoal 			charcoal 		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-434	Juniperus californica	1	bud scale	Previosusly idenntified as Chameocyparis sp. (6/5/19)		(https://commons.wikimedia.org/wiki/File:Chamaecyparis_lawsoniana_seeds.jpg), seed samples		
P23 35996	Box 1 grid B-2 level 9	cold soaked npropyl bromide only	35996_JG-435	Juniperus californica	3	twig	Previosusly idenntified as Juniperus sp. (6/5/19)		Calscape		
