RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	References	New Museum catalog # to be used
P23 39529	Box 13 grid B-2 level 3		JG-1046	Juniperus californica 	3	bud		Calscape	
P23 39529	Box 13 grid B-2 level 3		JG-1047	Thysanocarpus laciniatus	1	seed	Same as JG-538	Santa Ana Botanic Garden	
P23 39529	Box 13 grid B-2 level 3		JG-1048	Platanus racemosa 	2	seed		Seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1049	Juniperus californica (charcoal/ashpalt?)	1	twig		Calscape	
P23 39529	Box 13 grid B-2 level 3		JG-1050	Potamogeton nodosus	1	seed		Seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1051	Salvia apiana 	1	seed		Santa Ana Botanic Garden	
P23 39529	Box 13 grid B-2 level 3		JG-1052	Persicaria lapathifolia	4	seed		Seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1053	Quercus lobata 	4	immature acorns		Calscape	
P23 39529	Box 13 grid B-2 level 3		JG-1054	Charcoal	1	charcoal		Charcoal	
P23 39530	Box 13 grid B-2 level 4		JG-1055	Juniperus californica 	29	seed		Jesse	
P23 39530	Box 13 grid B-2 level 4		JG-1056	Juniperus communis	98	seed		Seed samples	
P23 39530	Box 13 grid B-2 level 4		JG-1057	Juniperus californica (charcoal/ashpalt?)	1	twig		Calscape	
P23 39530	Box 13 grid B-2 level 4		JG-1058	Bone	88	bone		Bone	
P23 39530	Box 13 grid B-2 level 4		JG-1059	Platanus racemosa 	11	seed		Seed samples	
P23 39530	Box 13 grid B-2 level 4		JG-1060	Juniperus californica 	5	bud		Calscape	
P23 39530	Box 13 grid B-2 level 4		JG-1061	Arctostaphylos viscida	1	seed		Santa Ana Botanic Garden	
P23 39530	Box 13 grid B-2 level 4		JG-1062	Quercus dumosa 	2	acorn cap		Calscape	
P23 39530	Box 13 grid B-2 level 4		JG-1063	Quercus dumosa 	1	immature acorn		Calscape	
P23 39530	Box 13 grid B-2 level 4		JG-1064	Quercus agrifolia	2	immature acorn		Calscape	
P23 39530	Box 13 grid B-2 level 4		JG-1065	Sambucus nigra 	1	seed		Seed samples	
P23 39530	Box 13 grid B-2 level 4		JG-1066	Solidago canandensis	2	seed		Seed samples	
P23 39531	Box 13 grid B-3 level 1		JG-1067	Juniperus californica 	2	seed		Jesse	
P23 39531	Box 13 grid B-3 level 1		JG-1068	Juniperus communis	24	seed		Seed samples	
P23 39531	Box 13 grid B-3 level 1		JG-1069	Juniperus californica	2	twig		Calscape	
P23 39531	Box 13 grid B-3 level 1		JG-1070	Bone	1	bone		Bone	
P23 39531	Box 13 grid B-3 level 1		JG-1071	Platanus racemosa 	1	seed		Seed samples	
P23 39531	Box 13 grid B-3 level 1		JG-1072	Alopecurus aequalis	7	glume		(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 	
P23 39531	Box 13 grid B-3 level 1		JG-1073	Turtle scute 	1	turtle scute		Turtle scute	
P23 39531	Box 13 grid B-3 level 1		JG-1074	Juniperus californica	2	bud		Calscape	
P23 39531	Box 13 grid B-3 level 1		JG-1075	Thysanocarpus laciniatus	1	seed	Same as JG-538	Santa Ana Botanic Garden	
P23 39531	Box 13 grid B-3 level 1		JG-1076	Charcoal	3	Charcoal		Charcoal	
P23 39531	Box 13 grid B-3 level 1		JG-1077	Adenostoma fasciculatum 	0.5	seed		Santa Ana Botanic Garden	
P23 39531	Box 13 grid B-3 level 1		JG-1078	Sanicula tuberosa	3	seed		Santa Ana Botanic Garden	
