RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes
P23 38317	Box 7B grid A-3 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-798	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)		(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38317	Box 7B grid A-3 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-799	Solidago canadensis 	2	seed			Seed samples	
P23 38317	Box 7B grid A-3 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-800	Potamogeton alpinus 	4	seed			Seed samples	
P23 38317	Box 7B grid A-3 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-801	Juniperus californica 	1	twig	Previously identified as Juniperus sp. (7/10/19)		Calflora	
P23 38317	Box 7B grid A-3 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-802	Hesperocyparis macrocarpa	1	seed			Calflora, Calscape 	
P23 38317	Box 7B grid A-3 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-803	Angelica kingii 	1	seed			Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3		JG-804	Juniperus californica 	35	seed			Jesse	
P23 38318	Box 7B grid A-3 level 3		JG-805	Bone	1	bone			Bone	
P23 38318	Box 7B grid A-3 level 3		JG-806	Xanthium strumarium 	1	seed			Seed samples	
P23 38318	Box 7B grid A-3 level 3		JG-807	Atriplex lentiformis	1	seed			Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3		JG-808	Juniperus sp. 	28	seed			Santa Ana Botanic Garden	
P23 38318	Box 7B grid A-3 level 3		JG-809	Juniperus californica 	9	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38318	Box 7B grid A-3 level 3		JG-810	Potamogeton alpinus 	8	seed			Seed samples 	
P23 38318	Box 7B grid A-3 level 3		JG-811	Hesperocyparis macrocarpa	1	seed			Calflora, Calscape 	
P23 38318	Box 7B grid A-3 level 3		JG-812	Cyperaceae	2	seed			Seed samples	
P23 38318	Box 7B grid A-3 level 3		JG-813	Dichondra occidentalis 	5	seed			Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3		JG-814	Rumex salicifolius 	1	seed			Seed samples 	
P23 38318	Box 7B grid A-3 level 3		JG-815	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38319	Box 7B grid A-3 level 4		JG-816	Juniperus californica 	23	seed			Jesse	
P23 38319	Box 7B grid A-3 level 4		JG-817	Ribes divaricatum	1	seed			(https://plants.usda.gov/gallery/pubs/ridi_001_php.jpg), seed samples	
P23 38319	Box 7B grid A-3 level 4		JG-818	Eschscholzia californica 	1	seed			Seed samples	
P23 38319	Box 7B grid A-3 level 4		JG-819	Xanthium strumarium 	2	seed			Seed samples	
P23 38319	Box 7B grid A-3 level 4		JG-820	Juniperus californica 	3	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38319	Box 7B grid A-3 level 4		JG-821	Juniperus sp. 	11	seed			Santa Ana Botanic Garden	
P23 38319	Box 7B grid A-3 level 4		JG-822	Alopecurus aequalis	1	glume 			Bekker pg. 196	
P23 38319	Box 7B grid A-3 level 4		JG-823	Platanus racemosa 	3	seed			Seed samples, Santa Ana Botanic Garden	
P23 38319	Box 7B grid A-3 level 4		JG-824	Potamogeton alpinus 	6	seed			Seed samples	
P23 38319	Box 7B grid A-3 level 4		JG-825	Angelica kingii 	1	seed			Seed samples, calflora 	
P23 38319	Box 7B grid A-3 level 4		JG-826	Bone	1	bone			bone	
P23 38319	Box 7B grid A-3 level 4		JG-827	Hesperocyparis macrocarpa	1	seed			Calflora, Calscape 	
P23 38320	Box 7B grid B-1 level 1		JG-828	Juniperus californica 	11	seed			Jesse	
P23 38320	Box 7B grid B-1 level 1		JG-829	Arctostaphylos pungens	1/2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1		JG-830	Potamogeton nodosus	1	seed			Seed samples	
P23 38320	Box 7B grid B-1 level 1		JG-831	Platanus racemosa 	2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1		JG-832	Quercus chrysolepis	2	acorn cap fragments			Calscape	
P23 38320	Box 7B grid B-1 level 1		JG-833	Juniperus sp. 	44	seed			Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1		JG-834	Juniperus californica 	31	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38320	Box 7B grid B-1 level 1		JG-835	Juniperus californica 	3	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38320	Box 7B grid B-1 level 1		JG-836	Potamogeton alpinus 	1	seed			Seed samples	
P23 38320	Box 7B grid B-1 level 1		JG-837	Hesperocyparis macrocarpa	1	seed			Calflora, Calscape 	
P23 38320	Box 7B grid B-1 level 1		JG-838	Purshia tridentata	1	seed			Santa Ana Botanic Garden	
P23 38320	Box 7B grid B-1 level 1		JG-839	Sambucus nigra 	2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5		JG-840	Juniperus californica 	26	seed			Jesse	
P23 38321	Box 7B grid B-1 level 5		JG-841	Platanus racemosa 	6	seed			Seed samples, Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5		JG-842	Juniperus sp. 	185	seed			Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5		JG-843	Hesperocyparis macrocarpa	21	seed			Calflora, Calscape 	
P23 38321	Box 7B grid B-1 level 5		JG-844	Juniperus californica 	28	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38321	Box 7B grid B-1 level 5		JG-845	Cyperaceae	1	seed			Seed samples 	
P23 38321	Box 7B grid B-1 level 5		JG-846	Potamogeton nodosus	1	seed			Seed samples	
P23 38321	Box 7B grid B-1 level 5		JG-847	Quercus chrysolepis	1	immature acorn			(https://www.flickr.com/photos/treebeard/32337119826)	
P23 38321	Box 7B grid B-1 level 5		JG-848	Iris macrosiphon	1	seed			(https://plants.usda.gov/core/profile?symbol=IRMA#)	
P23 38321	Box 7B grid B-1 level 5		JG-849	Berula erecta 	1/2	seed			(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 38321	Box 7B grid B-1 level 5		JG-850	Bone	13	bone			bone	
P23 38321	Box 7B grid B-1 level 5		JG-851	Juniperus californica 	2	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38321	Box 7B grid B-1 level 5		JG-852	Sisyrinchium bellum 	1/2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38321	Box 7B grid B-1 level 5		JG-853	Heteromeles arbutifolia 	1	seed			Seed samples, Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-854	Juniperus californica	35	seed			Jesse	
P23 38322	Box 7B grid B-2 level 1		JG-855	Juniperus californica 	20	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38322	Box 7B grid B-2 level 1		JG-856	Bone	6	bone			Bone	
P23 38322	Box 7B grid B-2 level 1		JG-857	Solidago canadensis 	2	seed			Seed samples 	
P23 38322	Box 7B grid B-2 level 1		JG-858	Alopecurus aequalis	5	glume 			Bekker pg. 196	
P23 38322	Box 7B grid B-2 level 1		JG-859	Potamogeton alpinus 	1	seed	smaller 		Seed samples	
P23 38322	Box 7B grid B-2 level 1		JG-860	Xanthium strumarium 	4	seed			Seed samples	
P23 38322	Box 7B grid B-2 level 1		JG-861	Juniperus californica 	24	bud	Previously identified as Juniperus sp. (7/10/19)		Calscape 	
P23 38322	Box 7B grid B-2 level 1		JG-862	Ambrosia psilostachya 	3	leaf fragments 			(https://www.uwgb.edu/biodiversity/herbarium/Vascular_plants/Misc_species/ambpsi01.html)	
P23 38322	Box 7B grid B-2 level 1		JG-863	Quercus chrysolepis	1	acorn			(https://www.fs.fed.us/psw/publications/documents/psw_gtr071/psw_gtr071.pdf) 	
P23 38322	Box 7B grid B-2 level 1		JG-864	Cyperaceae	1	seed			Seed samples 	
P23 38322	Box 7B grid B-2 level 1		JG-865	Arctostaphylos pungens	1/2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-866	Potamogeton nodosus	8	seed			Seed samples 	
P23 38322	Box 7B grid B-2 level 1		JG-867	Cornus sericea 	1/2	seed			Seed samples 	
P23 38322	Box 7B grid B-2 level 1		JG-868	Berula erecta 	3	seed			(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 38322	Box 7B grid B-2 level 1		JG-869	Salvia spathacea	1	seed	(Same as JG-205)		Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-870	Sambucus nigra 	2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-871	Rosa sp.	1	rose hip fruit 			Calflora 	
P23 38322	Box 7B grid B-2 level 1		JG-872	Arctostaphyos glauca 	2	seed			seed samples	
P23 38322	Box 7B grid B-2 level 1		JG-873	Adenostoma sparsifolium 	2	seed			Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-874	Adenostoma fasciculatum	2	seed			Santa Ana Botanic Garden, USDA	
P23 38322	Box 7B grid B-2 level 1		JG-875	Juniperus sp. 	200	seed			Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-876	Heteromeles arbutifolia 	7	seed			Seed sample, Santa Ana Botanic Garden	
P23 38322	Box 7B grid B-2 level 1		JG-877	Berberis aquifolium	1.5	seed	Previously identified as Juniperus sp. (7/10/19)		Calflora, Seed samples	
P23 38322	Box 7B grid B-2 level 1		JG-878	Platanus racemosa 	11	seed			Seed samples, Santa Ana Botanic Garden	
P23 38323	Box 7B grid B-2 level 2		JG-879	Juniperus californica 	130	seed			Jesse	
P23 38323	Box 7B grid B-2 level 2		JG-880	Juniperus sp. 	350	seed			Santa Ana Botanic Garden	
P23 38323	Box 7B grid B-2 level 2		JG-881	Juniperus sp. 	4	twig			Calscape	
P23 38323	Box 7B grid B-2 level 2		JG-882	Xanthium strumarium 	1	seed			Seed samples	
P23 38323	Box 7B grid B-2 level 2		JG-883	Platanus racemosa 	5	seed			Seed samples, Santa Ana Botanic Garden	
P23 38323	Box 7B grid B-2 level 2		JG-884	Hesperocyparis macrocarpa	14	seed			Calflora, Calscape 	
P23 38323	Box 7B grid B-2 level 2		JG-885	Purshia tridentata	3	seed			Santa Ana Botanic Garden	
P23 38323	Box 7B grid B-2 level 2		JG-886	Solidago canadensis 	3	seed			seed samples	
P23 38323	Box 7B grid B-2 level 2		JG-887	Bone	6	bone			Bone	
P23 38323	Box 7B grid B-2 level 2		JG-888	Insect chitin	2	chitin			Chitin	
P23 38323	Box 7B grid B-2 level 2		JG-889	Potamogeton alpinus 	10	seed			Seed samples	
P23 38323	Box 7B grid B-2 level 2		JG-890	Cyperaceae	2	seed			Seed samples 	
P23 38323	Box 7B grid B-2 level 2		JG-891	Angelica kingii 	1	seed			Seed samples, Calflora	
P23 38323	Box 7B grid B-2 level 2		JG-892	Heteromeles arbutifolia 	2	seed			Seed samples, Santa Ana Botanic Garden	
P23 38323	Box 7B grid B-2 level 2		JG-893	Juniperus sp. 	6	buds			Calscape	
P23 38323	Box 7B grid B-2 level 2		JG-894	Arctostaphylos glauca 	1	seed			Seed samples	
P23 38323	Box 7B grid B-2 level 2		JG-895	Hesperocyparis macrocarpa	1	cone fragments 			Calflora, Calscape 	
P23 38323	Box 7B grid B-2 level 2		JG-896	Alopecurus aequalis	6	1 seed and 5 glumes 			(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 	
P23 38324	Box 7B grid B-2 level 3		JG-897	Juniperus californica 	430	seed			Jesse	
P23 38324	Box 7B grid B-2 level 3		JG-898	Bone	65	bone			Bone	
P23 38324	Box 7B grid B-2 level 3		JG-899	Juniperus sp. 	1500	seed			Santa Ana Botanic Garden	
P23 38324	Box 7B grid B-2 level 3		JG-900	Scat	4	scat 			scat 	
P23 38324	Box 7B grid B-2 level 3		JG-901	Insect chitin	2	chitin			chitin	
P23 38324	Box 7B grid B-2 level 3		JG-902	Berula erecta	52	seed			(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 38324	Box 7B grid B-2 level 3		JG-903	Hesperocyparis macrocarpa	107	seed			Calflora, Calscape 	
P23 38324	Box 7B grid B-2 level 3		JG-904	Dichondra occidentalis 	14	seed			Seed samples, Calflora 	
P23 38324	Box 7B grid B-2 level 3		JG-905	Juniperus californica 	11	twig	Previously identified as Juniperus sp. (7/10/19)		Calscape	
P23 38324	Box 7B grid B-2 level 3		JG-906	Xanthium strumarium 	4	seed			Seed samples 	
P23 38324	Box 7B grid B-2 level 3		JG-907	Cyperaceae	4	seed			Seed samples	
P23 38324	Box 7B grid B-2 level 3		JG-908	Potamogeton alpinus 	49	seed			Seed samples	
P23 38324	Box 7B grid B-2 level 3		JG-909	Potamogeton nodosus	5	seed			Seed samples	
P23 38324	Box 7B grid B-2 level 3		JG-910	Platanus racemosa 	1	seed			Santa Ana Botanic Garden	
P23 38324	Box 7B grid B-2 level 3		JG-911	Arctostaphylos pungens	1	seed			Santa Ana Botanic Garden	
P23 38324	Box 7B grid B-2 level 3		JG-912	Arctostaphylos glauca 	1	seed			Seed samples 	
P23 38324	Box 7B grid B-2 level 3		JG-913	Purshia tridentata	3	seed			Santa Ana Botanic Garden	
