Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats														
	NSF-19-114	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-115	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth frag			y														
	NSF-19-116	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-117	A3/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y														
	NSF-19-118	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3 frag			y														
	NSF-19-119	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3 frag			y														
	NSF-19-120	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y														
	NSF-19-121	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y														
	NSF-19-122	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper rt P4			y														
	NSF-19-123	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			partial upper lt M1/M2	"square/spatulate-shaped, large"		y														
	NSF-19-124	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper rt M1/M2			y														
	NSF-19-125	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper lt M3	worn		y														
	NSF-19-126	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower lt p4	juv		y														
	NSF-19-127	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Tamias	sp	upper rt M1/M2			y														
	NSF-19-128	A3/L1	Mammalia	Rodentia	?Sciuridae	Xerinae			tooth frag			y														
	NSF-19-129	A3/L1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	rt P3		2/26/2019	y														
	NSF-19-130	A3/L1	Mammalia	Carnivora	Mephitidae		?Mephitis	mephitis	lower lt incisor		2/26/2019	y														
	NSF-19-131	A3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower m1/m2	weathered		y														
	NSF-19-132	A3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	partial lower m1/m2			y														
	NSF-19-133	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-134	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-135	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-136	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph	7/29/2019	y														
