Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats														
	NSF-19-678	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-679	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-680	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-681	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-682	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-683	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-684	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-685	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth 	juv		y														
	NSF-19-686	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth	juv		y														
	NSF-19-687	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-688	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-689	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-690	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-691	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-692	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-693	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-694	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-695	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-696	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-697	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-698	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-699	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-700	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-701	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-702	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-703	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag			y														
	NSF-19-704	B2/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	molar frag			y														
	NSF-19-705	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt DP4			y														
	NSF-19-706	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt M1/M2			y														
	NSF-19-707	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt M1/M2			y														
	NSF-19-708	B2/L3	Mammalia	Rodentia	Sciuridae				lt M3	worn		y														
	NSF-19-709	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt DP4			y														
	NSF-19-710	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt DP4			y														
	NSF-19-711	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt M1/M2			y														
	NSF-19-712	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt M3			y														
	NSF-19-713	B2/L3	Mammalia	Rodentia	Sciuridae				upper lt tooth frag			y														
	NSF-19-714	B2/L3	Mammalia	Rodentia	Sciuridae				upper lt tooth frag			y														
	NSF-19-715	B2/L3	Mammalia	Rodentia	Sciuridae				upper rt tooth frag			y														
	NSF-19-716	B2/L3	Mammalia	Rodentia	Sciuridae				upper rt tooth frag			y														
	NSF-19-717	B2/L3	Mammalia	Rodentia	Sciuridae				upper rt tooth frag			y														
	NSF-19-718	B2/L3	Mammalia	Rodentia	Sciuridae				upper rt tooth frag			y														
	NSF-19-719	B2/L3	Mammalia	Rodentia	Sciuridae				upper tooth frag			y														
	NSF-19-720	B2/L3	Mammalia	Rodentia	Sciuridae				upper tooth frag			y														
	NSF-19-721	B2/L3	Mammalia	Rodentia	Sciuridae				upper tooth frag			y														
	NSF-19-722	B2/L3	Mammalia	Rodentia	Sciuridae				upper tooth frag			y														
	NSF-19-723	B2/L3	Mammalia	Rodentia	Sciuridae				upper tooth frag			y														
	NSF-19-724	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt DP4			y														
	NSF-19-725	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt dp4			y														
	NSF-19-726	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt m1/m2			y														
	NSF-19-727	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt dp4			y														
	NSF-19-728	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt dp4			y														
	NSF-19-729	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt dp4			y														
	NSF-19-730	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt p4			y														
	NSF-19-731	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt p4			y														
	NSF-19-732	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt m1/m2			y														
	NSF-19-733	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt m1/m2			y														
	NSF-19-734	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt m3	worn		y														
	NSF-19-735	B2/L3	Mammalia	Rodentia	Sciuridae				lower rt molar frag			y														
	NSF-19-736	B2/L3	Mammalia	Rodentia	Sciuridae				lower tooth frag			y														
	NSF-19-737	B2/L3	Mammalia	Rodentia	Sciuridae				lower tooth frag			y														
	NSF-19-738	B2/L3	Mammalia	Rodentia	Sciuridae				lower tooth frag			y														
	NSF-19-739	B2/L3	Mammalia	Rodentia	Sciuridae				tooth frag			y														
	NSF-19-740	B2/L3	Mammalia	Rodentia	Sciuridae				tooth frag			y														
	NSF-19-741	B2/L3	Mammalia	Rodentia	Sciuridae				tooth frag			y														
	NSF-19-742	B2/L3	Mammalia	Rodentia	Sciuridae				tooth frag			y														
	NSF-19-743	B2/L3	Mammalia	Eulipotyphla	Soricidae	Soricinae			partial rt dentary			y														
	NSF-19-744	B2/L3	Mammalia	Eulipotyphla	Soricidae	Soricinae			rt M1/M2			y														
	NSF-19-745	B2/L3	Mammalia	Rodentia	?Sciuridae				maxilla frag			y														
	NSF-19-746	B2/L3	Mammalia	?Lagomorpha	?Leporidae				premaxilla frag			y														
	NSF-19-747	B2/L3	Mammalia	Rodentia	?Sciuridae				tooth frag			y														
	NSF-19-748	B2/L3	Mammalia	Lagomorpha	Leporidae				tooth frag	juv?		y																																								
