OriginalName	RevisedName	Order	Family	Genus
Peromyscus sp.	Peromyscus sp.	Rodentia	Cricetidae	Peromyscus
Reithrodomtomys cf megalotis	Reithrodontomys megalotis 	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys  megalotis 	Reithrodontomys megalotis 	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys cf megalotis	Reithrodontomys megalotis 	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys cf megalotis 	Reithrodontomys megalotis 	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys cf. megalotis	Reithrodontomys megalotis 	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys cf. Megalotis	Reithrodontomys megalotis 	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys sp	Reithrodontomys sp.	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys sp.	Reithrodontomys sp.	Rodentia	Cricetidae	Reithrodontomys
Scapanus latimus 	Scapanus latimus 	Eulipotyphla	Talpidae	Scapanus
Sciuridae	Sciuridae	Rodentia	Sciuridae	NA
Sciuridae (Xerinae)	Sciuridae (Xerinae)	Rodentia	Sciuridae	NA
Soricidae (Soricinae)	Soricidae (Soricinae)	Eulipotyphla	Soricidae	Soricidae
Soricidae?	Soricidae	Eulipotyphla	Soricidae	Soricidae
Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale
Sylvilagus  bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus  cf audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus  sp	Sylvilagus sp.	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf. auduboni	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf. audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf. bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus sp	Sylvilagus sp.	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus sp.	Sylvilagus sp.	Lagomorpha	Leporidae	Sylvilagus
Tamias sp	Tamias sp.	Rodentia	Sciuridae	Tamias
Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea
Thomomys  sp	Thomomys sp.	Rodentia	Geomyidae	Thomomys
Thomomys bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys
Thomomys cf bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys
Thomomys cf. bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys
Thomomys sp	Thomomys sp.	Rodentia	Geomyidae	Thomomys
Thomomys sp.	Thomomys sp.	Rodentia	Geomyidae	Thomomys
Vertebrata -	Vertebrata	other	NA	NA
Vertebrata cf. Mammalia-	Mammalia	other	NA	NA
Vertebrata-	Vertebrata	other	NA	NA
